Report Origin = (0.0, 0.0)
Units used = "mil"
"Name","layer","CenterX","CenterY","Orientation"
"C343", "Bottom", "635.081", "2906.347", "0"
"C344", "Top", "574.797", "3163.992", "0"
"C345", "Top", "574.801", "3009.947", "0"
"C346", "Top", "647.028", "2901.869", "180"
"C347", "Bottom", "818.081", "3204.347", "0"
"C348", "Bottom", "818.081", "3126.347", "0"
"C349", "Top", "817.081", "3203.347", "180"
"C350", "Top", "817.081", "3051.347", "180"
"C351", "Top", "817.081", "3128.347", "180"
"C352", "Bottom", "3767.455", "3358.895", "180"
"C353", "Bottom", "3602.180", "3053.649", "90"
"C354", "Top", "3532.835", "3309.955", "270"
"C355", "Bottom", "2338.583", "403.543", "270"
"C356", "Bottom", "2397.638", "403.543", "270"
"C357", "Bottom", "2456.693", "403.543", "270"
"C358", "Bottom", "2515.748", "403.543", "270"
"C359", "Bottom", "2653.543", "403.543", "270"
"C360", "Bottom", "2712.598", "403.543", "270"
"C361", "Bottom", "2968.504", "403.543", "270"
"C362", "Bottom", "3027.559", "403.543", "270"
"C363", "Bottom", "3362.205", "403.543", "270"
"C364", "Bottom", "3421.260", "403.543", "270"
"C365", "Bottom", "4031.496", "403.543", "270"
"C366", "Bottom", "4090.551", "403.543", "270"
"C367", "Bottom", "4346.457", "403.543", "270"
"C368", "Bottom", "4405.512", "403.543", "270"
"C369", "Bottom", "4661.417", "403.543", "270"
"C370", "Bottom", "4720.472", "403.543", "270"
"C371", "Bottom", "4937.008", "403.543", "270"
"C372", "Bottom", "4996.063", "403.543", "270"
"C373", "Bottom", "3677.165", "403.543", "270"
"C374", "Bottom", "3736.220", "403.543", "270"
"C375", "Bottom", "2811.024", "403.543", "270"
"C376", "Bottom", "2870.079", "403.543", "270"
"C377", "Bottom", "3204.724", "403.543", "270"
"C378", "Bottom", "3263.780", "403.543", "270"
"C379", "Bottom", "3519.685", "403.543", "270"
"C380", "Bottom", "3578.740", "403.543", "270"
"C381", "Bottom", "3874.016", "403.543", "270"
"C382", "Bottom", "3933.071", "403.543", "270"
"C383", "Bottom", "4188.976", "403.543", "270"
"C384", "Bottom", "4248.031", "403.543", "270"
"C385", "Bottom", "4503.937", "403.543", "270"
"C386", "Bottom", "4562.992", "403.543", "270"
"C387", "Bottom", "4818.898", "403.543", "270"
"C388", "Bottom", "4877.953", "403.543", "270"
"C389", "Top", "4191.996", "1066.896", "180"
"C390", "Top", "4238.633", "961.285", "0"
"C391", "Top", "2670.000", "3430.000", "0"
"C392", "Bottom", "2645.678", "3283.510", "180"
"C393", "Bottom", "2629.930", "2700.833", "180"
"C394", "Top", "2670.000", "3480.000", "0"
"C395", "Bottom", "2929.089", "3228.355", "90"
"C396", "Bottom", "2881.881", "2700.742", "0"
"C397", "Top", "2770.000", "3480.000", "180"
"C398", "Top", "2770.000", "3430.000", "180"
"C399", "Top", "2980.000", "3120.000", "0"
"C400", "Top", "2980.000", "2970.000", "180"
"C401", "Top", "2870.000", "3430.000", "0"
"C402", "Bottom", "2417.278", "3228.355", "90"
"C403", "Bottom", "2118.119", "2700.833", "180"
"C404", "Top", "2870.000", "3480.000", "0"
"C405", "Bottom", "2133.867", "3283.510", "180"
"C406", "Bottom", "2370.070", "2700.742", "0"
"C407", "Top", "2970.000", "3480.000", "180"
"C408", "Top", "2970.000", "3430.000", "180"
"C409", "Top", "2470.000", "3120.000", "0"
"C410", "Top", "2470.000", "2970.000", "180"
"C411", "Top", "1905.004", "3525.000", "90"
"C412", "Top", "1855.004", "3525.000", "90"
"C413", "Bottom", "1820.000", "3350.000", "180"
"C414", "Top", "1820.000", "3100.000", "0"
"C415", "Bottom", "2110.172", "3439.577", "270"
"C416", "Top", "2160.172", "3439.577", "270"
"C417", "Bottom", "1820.000", "3100.000", "180"
