Item,Qty,Ref Des,Description,Manufacturer,Part Number,Digikey Part Number
79,2,"U17, U21",MT40A1G16KNR-075,Micron,MT40A1G16KNR-075:E,340-345838-TRAY (Mouser.com)
80,1,U2,MT25QU512ABB1EW9,Micron,MT25QU512ABB1EW9-0SIT TR,557-1826-1-ND
81,2,"U25, U39",TPSM846C23,Texas Instruments,TPSM846C23MOLR,296-48350-1-ND
82,2,"U26, U35",TPSM84824,Texas Instruments,TPSM84824MOLR,296-48381-1-ND
83,1,U29,FT232R,FTDI,FT232RQ-REEL,768-1008-1-ND
84,1,U33,XCKU11PFFVD900,Xilinx,WE WILL SUPPLY THIS PART AND SHIP TO YOU,WE WILL SUPPLY THIS PART AND SHIP TO YOU
85,1,U41,TPS51200,Texas Instruments,TPS51200DRCR,296-26978-1-ND
86,1,U5,TXS0101DBV,Texas Instruments,TXS0101DBVR,296-22863-1-ND
87,2,"U6, U16",LPDDR_MICRON,Micron,MT46H128M16LFDD-48 AIT:C TR,557-2011-1-ND
88,4,"U7, U8, U19, U32",TPS7A91,Texas Instruments,TPS7A9101DSKR,296-48317-1-ND
89,4,"U9, U27, U28, U31",TPSM84424,Texas Instruments,TPSM84424MOLR,296-48380-1-ND
90,1,X1,FA-238-CRYSTAL (25MHz),Epson,FA-238 25.0000MB-C3,SER3691CT-ND
